fighter_name,elo,fights,wins,win_ratio
Victoria Leonardo,1401.5555473670847,5,1,0.2
Orion Cosce,1451.6466582266612,3,1,0.3333333333333333
Joey Gomez,1440.6636858397865,2,0,0.0
Daniel Omielanczuk,1489.5368462194424,9,4,0.4444444444444444
Chris Tuchscherer,1423.1999999999998,2,0,0.0
Frank Mir,1478.2968986254775,12,5,0.4166666666666667
Rony Jason,1535.8072421908937,8,4,0.5
Matt Dwyer,1437.4599011965092,4,1,0.25
SuYoung You,1552.5172794121472,2,2,1.0
Wanderlei Silva,1526.3102518705662,4,2,0.5
Chris Saunders,1461.6,1,0,0.0
Joby Sanchez,1408.855332751213,5,1,0.2
Livinha Souza,1478.6674610594398,6,3,0.5
John Cofer,1427.4269273965592,2,0,0.0
Dave Galera,1471.2,1,0,0.0
Gauge Young,1471.3559859887334,1,0,0.0
Jonathan Martinez,1627.4428927085912,15,10,0.6666666666666666
Steve Bosse,1533.9606062653804,3,2,0.6666666666666666
Jonathan Meunier,1496.9363348761367,2,1,0.5
Louis Smolka,1480.338893051234,17,8,0.47058823529411764
Omar Morales,1443.0895442328365,6,2,0.3333333333333333
Mateus Mendonca,1424.854005239939,3,0,0.0
Vitor Belfort,1546.1948090776486,13,7,0.5384615384615384
Dustin Pague,1413.4510079070337,6,1,0.16666666666666666
Kevin Souza,1554.9665263710322,4,3,0.75
Jairzinho Rozenstruik,1619.7702792508412,15,9,0.6
Rory Markham,1461.6,1,0,0.0
Cristiano Marcello,1436.1685397505603,4,1,0.25
Derek Brunson,1647.467684492676,21,14,0.6666666666666666
Chuck O'Neil,1471.2,1,0,0.0
Jorge Rivera,1505.8852651971627,4,2,0.5
Michael Kuiper,1442.9953868624164,4,1,0.25
Drew Dober,1571.2018208860172,24,13,0.5416666666666666
Matt Hamill,1492.2675833446026,6,3,0.5
Karine Gevorgyan,1461.6,1,0,0.0
Willamy Freire,1470.0786681882494,1,0,0.0
Dustin Ortiz,1567.7478124285467,14,8,0.5714285714285714
Seth Petruzelli,1424.2607612702784,2,0,0.0
Jeremiah Wells,1563.5963261606657,6,4,0.6666666666666666
Diego Lopes,1650.718544209838,7,5,0.7142857142857143
Kevin Borjas,1473.9568816709948,3,1,0.3333333333333333
Dan Ige,1620.2683964421965,19,11,0.5789473684210527
Sean O'Malley,1706.738967858436,12,10,0.8333333333333334
Fabricio Werdum,1655.2000507814796,14,10,0.7142857142857143
Andre Fili,1526.769605092593,23,12,0.5217391304347826
Walel Watson,1439.9397122334092,4,1,0.25
Paul Buentello,1461.6,1,0,0.0
Fernie Garcia,1392.5523467724247,4,0,0.0
John Gunderson,1497.6181327544894,2,1,0.5
Kailin Curran,1370.1337827834789,7,1,0.14285714285714285
Carlos Felipe,1517.3795502957212,5,3,0.6
Danny Henry,1487.9035758062564,4,2,0.5
Tom Lawlor,1526.6382532125824,8,4,0.5
Cub Swanson,1597.5630346974035,25,15,0.6
Hakeem Dawodu,1539.7192594020803,10,6,0.6
Lucie Pudilova,1427.3966946546377,10,3,0.3
Garreth McLellan,1429.7232149812771,5,1,0.2
Da-Un Jung,1536.0140498143653,1,1,1.0
Ailin Perez,1604.773011995185,6,5,0.8333333333333334
Rolando Dy,1430.0821963580986,4,1,0.25
Karine Silva,1599.7247168248796,5,4,0.8
Beneil Dariush,1697.9289830261275,22,16,0.7272727272727273
Steve Montgomery,1437.8026959919762,2,0,0.0
Sheldon Westcott,1475.060119132416,3,1,0.3333333333333333
Gina Mazany,1385.4490503018487,8,2,0.25
